customer_id,name,phone,email,country
1,Client 1,+38050123001,client1@mail.com,Ukraine
2,Client 2,+38050123002,client2@mail.com,Ukraine
3,Client 3,+38050123003,client3@mail.com,Ukraine
4,Client 4,+38050123004,client4@mail.com,Ukraine
5,Client 5,+38050123005,client5@mail.com,Ukraine
6,Client 6,+38050123006,client6@mail.com,Ukraine
7,Client 7,+38050123007,client7@mail.com,Ukraine
8,Client 8,+38050123008,client8@mail.com,Ukraine
9,Client 9,+38050123009,client9@mail.com,Ukraine
10,Client 10,+38050123010,client10@mail.com,Ukraine
11,Client 11,+38050123011,client11@mail.com,Ukraine
12,Client 12,+38050123012,client12@mail.com,Ukraine
13,Client 13,+38050123013,client13@mail.com,Ukraine
14,Client 14,+38050123014,client14@mail.com,Ukraine
15,Client 15,+38050123015,client15@mail.com,Ukraine
16,Client 16,+38050123016,client16@mail.com,Ukraine
17,Client 17,+38050123017,client17@mail.com,Ukraine
18,Client 18,+38050123018,client18@mail.com,Ukraine
19,Client 19,+38050123019,client19@mail.com,Ukraine
20,Client 20,+38050123020,client20@mail.com,Ukraine
21,Client 21,+38050123021,client21@mail.com,Ukraine
22,Client 22,+38050123022,client22@mail.com,Ukraine
23,Client 23,+38050123023,client23@mail.com,Ukraine
24,Client 24,+38050123024,client24@mail.com,Ukraine
25,Client 25,+38050123025,client25@mail.com,Ukraine
26,Client 26,+38050123026,client26@mail.com,Ukraine
27,Client 27,+38050123027,client27@mail.com,Ukraine
28,Client 28,+38050123028,client28@mail.com,Ukraine
29,Client 29,+38050123029,client29@mail.com,Ukraine
30,Client 30,+38050123030,client30@mail.com,Ukraine
31,Client 31,+38050123031,client31@mail.com,Ukraine
32,Client 32,+38050123032,client32@mail.com,Ukraine
33,Client 33,+38050123033,client33@mail.com,Ukraine
34,Client 34,+38050123034,client34@mail.com,Ukraine
35,Client 35,+38050123035,client35@mail.com,Ukraine
36,Client 36,+38050123036,client36@mail.com,Ukraine
37,Client 37,+38050123037,client37@mail.com,Ukraine
38,Client 38,+38050123038,client38@mail.com,Ukraine
39,Client 39,+38050123039,client39@mail.com,Ukraine
40,Client 40,+38050123040,client40@mail.com,Ukraine
41,Client 41,+38050123041,client41@mail.com,Ukraine
42,Client 42,+38050123042,client42@mail.com,Ukraine
43,Client 43,+38050123043,client43@mail.com,Ukraine
44,Client 44,+38050123044,client44@mail.com,Ukraine
45,Client 45,+38050123045,client45@mail.com,Ukraine
46,Client 46,+38050123046,client46@mail.com,Ukraine
47,Client 47,+38050123047,client47@mail.com,Ukraine
48,Client 48,+38050123048,client48@mail.com,Ukraine
49,Client 49,+38050123049,client49@mail.com,Ukraine
50,Client 50,+38050123050,client50@mail.com,Ukraine
51,Client 51,+38050123051,client51@mail.com,Ukraine
52,Client 52,+38050123052,client52@mail.com,Ukraine
53,Client 53,+38050123053,client53@mail.com,Ukraine
54,Client 54,+38050123054,client54@mail.com,Ukraine
55,Client 55,+38050123055,client55@mail.com,Ukraine
56,Client 56,+38050123056,client56@mail.com,Ukraine
57,Client 57,+38050123057,client57@mail.com,Ukraine
58,Client 58,+38050123058,client58@mail.com,Ukraine
59,Client 59,+38050123059,client59@mail.com,Ukraine
60,Client 60,+38050123060,client60@mail.com,Ukraine
61,Client 61,+38050123061,client61@mail.com,Ukraine
62,Client 62,+38050123062,client62@mail.com,Ukraine
63,Client 63,+38050123063,client63@mail.com,Ukraine
64,Client 64,+38050123064,client64@mail.com,Ukraine
65,Client 65,+38050123065,client65@mail.com,Ukraine
66,Client 66,+38050123066,client66@mail.com,Ukraine
67,Client 67,+38050123067,client67@mail.com,Ukraine
68,Client 68,+38050123068,client68@mail.com,Ukraine
69,Client 69,+38050123069,client69@mail.com,Ukraine
70,Client 70,+38050123070,client70@mail.com,Ukraine
71,Client 71,+38050123071,client71@mail.com,Ukraine
72,Client 72,+38050123072,client72@mail.com,Ukraine
73,Client 73,+38050123073,client73@mail.com,Ukraine
74,Client 74,+38050123074,client74@mail.com,Ukraine
75,Client 75,+38050123075,client75@mail.com,Ukraine
76,Client 76,+38050123076,client76@mail.com,Ukraine
77,Client 77,+38050123077,client77@mail.com,Ukraine
78,Client 78,+38050123078,client78@mail.com,Ukraine
